CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2022,D000091137,Longview Asset Management,250,250,0,0,0,250,0,0,0,0,0,0,250,0,www.opensecrets.org/orgs/summary.php?id=D000091137
2022,D000035446,Longview Capital Advisors,3000,3000,0,0,0,3000,0,0,0,0,0,0,1750,0,www.opensecrets.org/orgs/summary.php?id=D000035446
2012,D000076599,Longview Fibre Co,200,200,0,0,0,200,0,0,0,0,0,0,200,0,www.opensecrets.org/orgs/summary.php?id=D000076599
2014,D000053189,Longview Partners Investment,5200,5200,0,0,0,0,5200,0,0,0,0,0,5200,0,www.opensecrets.org/orgs/summary.php?id=D000053189
2022,D000083529,Longview Power,500,500,0,0,0,0,500,40000,0,0,0,0,500,0,www.opensecrets.org/orgs/summary.php?id=D000083529
2012,D000065725,Medical Review Institute of America,151600,151600,0,0,0,0,151600,0,0,0,0,141600,10000,0,www.opensecrets.org/orgs/summary.php?id=D000065725
2022,D000082407,MedReview Inc,3340,2827,0,513,0,2827,0,0,0,0,0,0,2827,0,www.opensecrets.org/orgs/summary.php?id=D000082407
2020,D000083092,Millennium Bulk Terminal Longview,0,0,0,0,0,0,0,115000,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000083092
2022,D000062553,Mountain View Hospital,2430,2430,0,0,0,18,2412,0,0,0,0,512,1868,0,www.opensecrets.org/orgs/summary.php?id=D000062553
2020,D000096585,Mountainview Properties (Michigan),2021,2021,0,0,0,1100,921,0,0,0,0,0,2021,0,www.opensecrets.org/orgs/summary.php?id=D000096585
2020,D000036124,National Review,2964,2964,0,0,0,919,2026,0,0,0,0,631,2333,0,www.opensecrets.org/orgs/summary.php?id=D000036124
2022,D000082137,Oak View Group,84175,81475,0,2700,0,28675,52800,460000,0,0,0,37000,34475,0,www.opensecrets.org/orgs/summary.php?id=D000082137
